Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash,SMA_7,SMA_14,Volume_Ratio_7d,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width_Percent,RSI_14,FNG_Momentum_3d,FNG_Momentum_7d,GDELT_Tone_Momentum_3d,Funding_Rate_7d_Avg
2022-05-17,29862.408203125,30694.490234375,29570.302734375,30425.857421875,29101473475,8,-1.2426,4.665e-05,28627.57421875,-0.0591037806491561,0,29851.766462053572,32296.9912109375,0.6873982649347467,34150.26396484375,4074.050177046534,42298.364318936816,26002.16361075068,-0.22854446933129946,30.241957705213593,-1.0,-2.0,0.2711000000000001,1.3826190476200003e-05
2022-05-18,30424.478515625,30618.716796875,28720.271484375,28720.271484375,31285268319,12,-0.5493,-3.2720000000000005e-05,28627.57421875,-0.0032275901596344,0,29820.897321428572,31512.841238839286,0.8513124676847836,33597.5861328125,4020.4156685527396,41638.417469917986,25556.754795707024,-0.30328422795852517,19.994371262433376,2.0,0.0,1.2921,3.910476190485715e-06
2022-05-19,28720.359375,30430.751953125,28708.955078125,30314.333984375,33773447707,13,-1.0672,4.249333333333333e-05,28627.57421875,-0.0556423164861352,0,30001.83761160714,31065.640764508928,1.055276779691997,33182.81162109375,3902.27704740659,40987.36571590693,25378.25752628057,-0.18376947624881665,31.326891434481922,-1.0,1.0,0.18280000000000007,4.5907619047619046e-05
2022-05-20,30311.119140625,30664.9765625,28793.60546875,29200.740234375,30749382605,13,-0.4717,0.0001,28627.57421875,-0.0196284755463243,0,29990.071428571428,30577.05636160714,1.0156034174068462,32757.1048828125,3845.8475655928282,40448.80001399815,25065.40975162684,-0.23118211186103613,30.28039532306967,5.0,3.0,0.7708999999999999,6.0996666666666665e-05
2022-05-21,29199.859375,29588.869140625,29027.39453125,29432.2265625,17274840442,13,-1.0681,6.699999999999998e-07,28627.57421875,-0.027339159748628,0,29894.49441964286,30143.504464285714,0.6027097840674314,32305.2615234375,3666.097000005476,39637.45552344845,24973.06752342655,-0.19591918605353392,32.185718399870865,1.0,4.0,-0.5188,4.6806666666666674e-05
2022-05-22,29432.47265625,30425.861328125,29275.18359375,30323.72265625,21631532270,14,-0.7965,3.1156666666666666e-05,28627.57421875,-0.0559347035562735,0,29754.295758928572,29876.67996651786,0.7708641633475942,31894.98125,3380.9526080644923,38656.886466128984,25133.076033871017,-0.11618460652199926,38.66982706510182,1.0,4.0,0.27069999999999994,3.823714285714286e-05
2022-05-23,30309.396484375,30590.5859375,28975.560546875,29098.91015625,31483454557,10,-0.4435,0.0001,28627.57421875,-0.0161977178859657,0,29645.151785714286,29791.10546875,1.1284427018427947,31462.4041015625,3137.00303773963,37736.41017704176,25188.39802608324,-0.18835604531447295,45.70514904875813,-3.0,-4.0,0.028200000000000003,4.1178571428571424e-05
2022-05-24,29101.125,29774.35546875,28786.58984375,29655.5859375,26616506245,12,-0.6495,-3.385333333333333e-05,28627.57421875,-0.0346650280630625,0,29535.11300223214,29693.43973214286,0.9662945954942174,30960.26484375,2485.3839692111114,35931.032782172224,25989.496905327775,-0.1312351453952725,45.0380867813863,-1.0,4.0,0.4186000000000001,2.967809523809524e-05
2022-05-25,29653.134765625,30157.78515625,29384.94921875,29562.361328125,27525063551,11,-0.6034,7.893e-05,28627.57421875,-0.0316208539297455,0,29655.411551339286,29738.154436383928,1.019154385121359,30609.62587890625,2119.258640739293,34848.14316038483,26371.108597427665,-0.12354138030267933,52.655981695217626,-3.0,-1.0,0.19309999999999994,4.562809523809524e-05
2022-05-26,29564.77734375,29834.16015625,28261.90625,29267.224609375,36774325352,12,-0.4527,6.079e-05,28627.57421875,-0.021855519242508,0,29505.82449776786,29753.8310546875,1.340345925376534,30270.941015625,1706.686583313027,33684.31418225106,26857.567848998948,-0.14702705465428553,50.91687081464017,2.0,-1.0,-0.009199999999999986,4.824190476190477e-05
2022-05-27,29251.140625,29346.943359375,28326.61328125,28627.57421875,36582005748,12,-0.6901,0.0001,28360.810546875,-0.0093184169163826,0,29423.94363839286,29707.00753348214,1.2940369906237132,29927.2220703125,1220.808947785328,32368.839965883155,27485.604174741842,-0.2661448078997521,47.350940637032046,0.0,-1.0,-0.04060000000000008,4.824190476190477e-05
2022-05-28,28622.625,28814.900390625,28554.56640625,28814.900390625,35519577634,13,-0.7548,9.570666666666668e-05,26762.6484375,-0.0712218999650856,0,29335.75418526786,29615.12430245536,1.1503919275954682,29665.00380859375,764.5233292558966,31194.050467105542,28135.957150081955,-0.27798478654541053,44.52239142862988,2.0,0.0,-0.15139999999999998,6.181857142857144e-05
